dur1,dur2,dur3,dur4,dur5,label
487,514,503,0,0,O
449,398,410,0,0,O
519,474,542,0,0,O
476,492,501,0,0,O
509,485,471,0,0,O
464,472,472,0,0,O
392,428,468,0,0,O
505,480,515,0,0,O
363,420,396,0,0,O
468,475,538,0,0,O
445,485,487,0,0,O
515,452,469,0,0,O
423,480,456,0,0,O
478,448,462,0,0,O
470,509,499,0,0,O
498,469,464,0,0,O
395,420,452,0,0,O
481,499,507,0,0,O
462,446,496,0,0,O
489,478,488,0,0,O
128,112,121,0,0,S
137,97,123,0,0,S
114,109,115,0,0,S
94,102,118,0,0,S
118,117,111,0,0,S
109,132,127,0,0,S
110,111,94,0,0,S
102,93,91,0,0,S
89,143,105,0,0,S
110,93,102,0,0,S
71,64,89,0,0,S
123,107,124,0,0,S
152,122,103,0,0,S
163,83,107,0,0,S
160,112,125,0,0,S
114,102,134,0,0,S
160,121,115,0,0,S
121,106,113,0,0,S
107,106,113,0,0,S
100,109,113,0,0,S
98,118,117,0,0,S
113,104,110,0,0,S
124,131,156,0,0,S
107,105,105,0,0,S
134,118,126,0,0,S
86,77,83,0,0,S
72,103,115,0,0,S
227,253,210,0,0,S
140,109,101,0,0,S
130,100,123,0,0,S
75,92,116,0,0,S
142,108,125,0,0,S
84,90,109,0,0,S
105,117,99,0,0,S
108,101,96,0,0,S
87,116,115,0,0,S
90,104,93,0,0,S
103,124,109,0,0,S
102,117,105,0,0,S
136,141,123,0,0,S
105,117,114,0,0,S
102,96,109,0,0,S
112,114,108,0,0,S
89,117,104,0,0,S
87,60,98,0,0,S
388,0,0,0,0,T
422,0,0,0,0,T
414,0,0,0,0,T
411,0,0,0,0,T
473,0,0,0,0,T
443,0,0,0,0,T
478,0,0,0,0,T
513,0,0,0,0,T
474,0,0,0,0,T
744,0,0,0,0,T
690,0,0,0,0,T
396,0,0,0,0,T
417,0,0,0,0,T
454,0,0,0,0,T
377,0,0,0,0,T
370,0,0,0,0,T
421,0,0,0,0,T
587,0,0,0,0,T
508,0,0,0,0,T
